,cascade_depth,cascade_expansion_degree_average,cascade_expansion_degree_max,cascade_expansion_degree_median,cascade_expansion_degree_min,cascade_size,cascade_speed,cascade_speed_average,cascade_speed_first_level,cascade_speed_max,cascade_speed_median,cascade_speed_min,cascade_speed_peak_level_first,cascade_speed_peak_level_last,cascade_speed_slot1_average,cascade_speed_slot2_average,cascade_speed_slot3_average,cascade_speed_slot4_average,cascade_speed_weekdays_average,cascade_speed_weekends_average,cascade_unique_size,level_number_to_peak,level_size_average,level_size_max,level_size_median,level_size_min
5419,0.0136986301369863,0.1,0.022727272727272728,0.1,0.1,0.003838771593090211,0.003437617288280385,0.9879515037450732,0.0025531716974009277,0.9878826500301375,0.9879569000206345,0.9879707853685693,0.0014653056976861685,0.0036411062975696988,0.0,0.0,0.0,0.005346751222102252,0.0,0.0,0.010638297872340425,0.6649831649831649,0.0199203187250996,0.00980392156862745,0.02631578947368421,
5420,0.0273972602739726,0.11666666666666667,0.056818181818181816,0.05,0.05,0.013435700575815739,0.0011549829323794507,0.9879321752583304,0.00014412955387821348,0.9878611157340772,0.9879359712769487,0.9879581755933788,1.8453522129100156e-05,0.00032818457199113434,0.0028279064666770237,0.0,0.0,0.0003019412850763602,0.0,0.0,0.031914893617021274,0.24621212121212122,0.06640106241699867,0.0392156862745098,0.05263157894736842,
5421,0.0410958904109589,0.16,0.11363636363636363,0.05,0.05,0.030710172744721688,0.0029264144460625302,0.9879508276107026,0.0010658452539770598,0.9878897286928695,0.987956690619667,0.9879698714247792,5.446876048515064e-05,0.0030996429140567336,0.0023011385518810715,0.0006398800065195321,0.0,0.0,0.0,0.0,0.0797872340425532,0.11319073083778967,0.1294820717131474,0.08823529411764706,0.10526315789473684,
5422,0.0136986301369863,0.05,0.011363636363636364,0.05,0.05,0.0019193857965451055,0.0014281037211331176,0.9879548169296339,0.0015126400109541204,0.9878759611227128,0.9879602132232921,0.9879841009430014,0.0015126400109541204,0.0015126400109541204,0.005757383093137748,0.0,0.0,0.0,0.0,0.0,0.005319148936170213,1.0,0.0,0.0,0.0,
5423,0.0684931506849315,0.06,0.022727272727272728,0.05,0.05,0.011516314779270634,0.00156346593324959,0.9879485393499781,0.0001713639341207888,0.9878786282346776,0.9879511194186249,0.9879726889450762,0.00012471562539295199,0.0002180122428486256,0.0006522423114130655,0.00037217438115045594,0.0,0.0,0.0,0.0,0.026595744680851064,0.2821067821067821,0.00664010624169987,0.00980392156862745,0.0,
5424,0.0136986301369863,0.15,0.03409090909090909,0.15,0.15,0.005758157389635317,0.003305428639988653,0.9879558790660893,0.0013723520825005525,0.9878965935577873,0.9879540611237829,0.9879728050014305,2.8263387052748193e-05,0.0035010927709321765,0.0,0.001420732467305576,0.0,0.0,0.0,0.0,0.015957446808510637,0.49747474747474746,0.0398406374501992,0.0196078431372549,0.05263157894736842,
5425,0.0684931506849315,0.1,0.18181818181818182,0.05,0.05,0.07293666026871401,0.01377236026685138,0.9879623679377358,0.0018439116033757736,0.9879997027567098,0.9879639136915943,0.9879740210701863,3.148760839128985e-05,0.01457773367835703,0.0,0.0013999885462346842,0.0002248722882497781,0.0,0.0,0.0,0.1276595744680851,0.046490546490546486,0.21912350597609562,0.14705882352941177,0.23684210526315788,
5426,0.0547945205479452,0.06,0.022727272727272728,0.05,0.05,0.011516314779270634,0.004983725770406906,0.9879627413253734,9.974506013275697e-05,0.9879145456367845,0.9879659528281242,0.9879750718847855,0.002536090184352058,0.005278736335732817,0.0,0.0018696960001818082,2.9909797949024785e-05,0.0,0.0,0.0,0.02127659574468085,0.5692640692640693,0.015936254980079678,0.00980392156862745,0.0,
5427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
5428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
5429,0.0136986301369863,0.05,0.011363636363636364,0.05,0.05,0.0019193857965451055,6.742203962356352e-05,0.9879467594514763,7.141307262599726e-05,0.9878679042876807,0.9879521557011238,0.9879760432260116,7.141307262599726e-05,7.141307262599726e-05,0.0,7.393064226268956e-05,0.0,0.0,0.0,0.0,0.005319148936170213,1.0,0.0,0.0,0.0,
5430,0.0273972602739726,0.075,0.022727272727272728,0.075,0.05,0.005758157389635317,0.00013581557837714957,0.9879474078340631,0.00014131693526374097,0.9878685809987562,0.987952794626365,0.9879766739670676,0.00013884731891932608,0.00014385515206216738,0.0,7.362881207093507e-05,0.0,0.0,0.0,0.0,0.015957446808510637,0.49747474747474746,0.013280212483399731,0.00980392156862745,0.0,
5431,0.0684931506849315,0.06666666666666667,0.03409090909090909,0.05,0.05,0.015355086372360844,0.0003962421118318555,0.9879476235411104,8.37611543480717e-05,0.987871210901072,0.9879526571281393,0.9879757909295893,3.258521565547425e-05,0.00015044079564727376,0.0,7.617562761051058e-05,0.0,0.0,0.0,0.0,0.026595744680851064,0.21829405162738497,0.0199203187250996,0.0196078431372549,0.0,
5432,0.0684931506849315,0.07857142857142857,0.03409090909090909,0.05,0.05,0.02111324376199616,0.0018038148180171637,0.9879533031959683,0.00018892565034773912,0.9878856204953431,0.9879550847917656,0.9879763491354238,0.0001516756038194812,0.00031336687392464503,0.0,0.0003575227939990792,5.145034050864356e-07,0.0,0.0,0.0,0.0425531914893617,0.24621212121212122,0.0398406374501992,0.029411764705882353,0.02631578947368421,
5433,0.0821917808219178,0.06666666666666667,0.03409090909090909,0.05,0.05,0.015355086372360844,0.0004168378933883331,0.9879483059827047,0.0001708151304886966,0.9878724053938744,0.9879533931851546,0.9879766323381579,1.5983905784685263e-05,0.00044151252201817323,0.0,3.867371947160226e-05,0.0,0.0,0.0,0.0,0.026595744680851064,0.21829405162738497,0.01138303927148549,0.0196078431372549,0.0,
5434,0.0684931506849315,0.09166666666666666,0.056818181818181816,0.05,0.05,0.02111324376199616,0.001529981596568147,0.988657903958916,0.0011067997250219402,0.9885837718967685,0.988662877091525,0.9886836205266505,0.0007103577012893387,0.001580691661333553,0.0042126811258360285,0.0001997902812808821,0.0,0.0,0.0,0.0,0.0425531914893617,0.16245791245791247,0.0398406374501992,0.0392156862745098,0.0,
5435,0.0136986301369863,0.2,0.045454545454545456,0.2,0.2,0.007677543186180422,0.002889367945904338,0.9886627434915893,0.0015184710495451002,0.9885980067948906,0.9886658698854732,0.988682420226421,0.00047128511905917495,0.003060403454362142,0.005779772916277728,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.396969696969697,0.0597609561752988,0.029411764705882353,0.07894736842105263,
